height,shift,merit,gaplen,difficulty,time_utc,adder,startprime
49606,25,31.342945,6102,23.919777,2015-01-09 14:25:47,1194487,3553072921284439239282282020653165858510168724131948557996462752365780688788765424119
50268,25,30.538907,5940,23.702027,2015-01-10 16:48:36,30227013,2970802750193876059699016266309869638453933352153062518681137543319149840227510336069
50556,25,31.230649,6072,23.538865,2015-01-11 04:46:36,20180271,2738048597573500539076243361323638883514332644196874874180944749215007851132975574319
50763,25,30.451234,5926,23.649225,2015-01-11 12:17:53,10835207,3284075733008608915099034259877540722428430295247070211589446275994733841340743111943
50991,25,30.774740,5976,23.765534,2015-01-11 20:21:21,22811101,2155632868473188884201637852631435583526004942217990264172108853440406319830570635741
51552,25,30.913016,6006,23.917106,2015-01-12 17:26:33,6627169,2386786288502879906862662112374007921855385751070856830144574100384124129596271828833
52305,25,30.679941,5958,24.025798,2015-01-13 21:34:51,10410991,2184527502928578491282884270165529966644185071293813861834344451390693183450284743663
52529,25,30.057835,5852,23.789876,2015-01-14 07:13:50,30849301,3575785052933776735785607850657653403299554188064894540505405948108716097221298665749
52554,25,30.969091,6024,23.812209,2015-01-14 08:03:38,22069629,3002290712730263857557301658781552874899029974628570874282144564071245709562556236157
52791,25,30.061379,5848,24.068144,2015-01-14 15:55:53,19598425,3059251629336659627107592109773372861158059280470388152207026950332030955556445031513
53039,25,31.673570,6164,23.811800,2015-01-15 02:39:17,1698405,3297142057335523204997733094307610675010302952368299808577323269175449070354709473893
54369,25,30.025210,5836,23.463637,2015-01-17 07:30:15,27616097,2593088551720418907410584146312385540718378772425785434887821818547020706955093435233
54562,25,30.673318,5958,23.649830,2015-01-17 13:53:08,5659163,2278082547363109553544779311208369883009101799102895506641884025266507548137243433499
54852,25,30.624476,5952,23.957306,2015-01-17 23:34:49,32419053,2552816544772887480949934519522254312177573861122436042399222111715149692861317819629
56057,32,30.568686,6086,24.033480,2015-01-19 22:14:17,384857881,291628245161840470233041012689569453910352095838102456061306442309571385628176199743257
57024,25,30.296676,5884,23.700514,2015-01-21 12:56:28,29889981,2215716439231632804321671386735664211453413404937245267295395893521425101745302279613
57309,25,31.304819,6092,23.785853,2015-01-21 23:21:25,27883153,3272249008543439541923789778061628841654203620259189029398661143293986213820539434641
58104,25,30.156902,5872,23.456953,2015-01-23 07:19:36,8078573,3661273529277578465346488210294856387565792036749386485638324406059952292379202634989
58167,25,32.998151,6422,23.502927,2015-01-23 09:33:17,26269207,3319507938051390847152124649195905416277749027041020340407982926458713084244660377111
58266,25,30.569293,5952,23.636386,2015-01-23 12:33:45,12001861,3625675123541747193056888890608681305106049058037588292535183987923956764361639797317
58591,25,31.469819,6126,23.800602,2015-01-24 00:31:53,4513965,3474862961364689808290626605673930267663411162970450986035996757471287269040268304557
59829,25,30.339046,5904,23.854861,2015-01-25 23:53:02,18067461,3266004725315932109904889820346341676130259478650798049643144607540999484987843784709
60791,32,30.059117,5994,23.566584,2015-01-27 14:41:41,837027043,399377298447667972255176184357505502712204337225620784003531793370756917401073429513443
61365,25,32.106329,6252,23.849281,2015-01-28 11:39:45,18244031,3709196276194849815884768834982292163764775794669509044561417874190230748340090724799
